Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
UNOMR,AI/ML,AI/ML,B2B,TypeScript,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
AICA,AI/ML,WealthTech,B2B,Manufacturing,2025,,Funding Round,Early Stage,,Switzerland,,,,,
Mosaic,AI/ML,AI/ML,B2B,"IoT, TypeScript",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Bloom,AI/ML,AI/ML,B2B,Cleantech,2025,13.0M CHF,Undisclosed,Series C,,Switzerland,,,,,
RoBoa,AI/ML,AI/ML,B2B,"Manufacturing, Robotics",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Time,AI/ML,AI/ML,B2B,,2025,,Venture Kick Grant,Pre-Seed,Venture Kick,Switzerland,,,,,
AIpowered,AI/ML,AI/ML,B2B,"AI, Cybersecurity, TypeScript",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
REMUUN,AI/ML,Drug Discovery,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Startups,AI/ML,AI/ML,B2B,"AI, TypeScript",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Clee,HEALTHCARE,Electric Vehicles,Unknown,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
DPhi,AEROSPACE,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AICA,AI/ML,WealthTech,B2B,"AI, Manufacturing, Robotics",2025,,Seed,Seed,,Switzerland,,,,,
Carewell,HEALTHCARE,Crypto,Unknown,Blockchain,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Araris,HEALTHCARE,Drug Discovery,Unknown,"Biotech, IoT",2025,,Undisclosed,Early Stage,Accel,Switzerland,,,,,
AIpowered,AI/ML,AI/ML,B2B,AI,2025,6.0M USD,Undisclosed,Series B,,Switzerland,,,,,
AI,AI/ML,AI/ML,B2B,"AI, Robotics",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Jaipur,AI/ML,AI/ML,B2B,"AI, Robotics, Venture Capital",2025,700.0K CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Beekeeper,SOFTWARE,SaaS,B2B,SaaS,2025,35.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Startups,AI/ML,AI/ML,B2B,"AI, Manufacturing, Robotics",2025,10.0K CHF,Funding Round,Pre-Seed,,Switzerland,,,,,
Composite,Unknown,Payments,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
DuraMon,Unknown,,Unknown,,2025,1.6M CHF,Seed,Seed,,Switzerland,,,,,
AImonitored,HEALTHCARE,Biotech,B2B,"AI, Biotech, Logistics, Manufacturing, Mobility, Robotics, SaaS",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Startups,SOFTWARE,SaaS,B2B,"AR/VR, AgTech, IoT, Robotics, SaaS, TypeScript",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
EVs,CLEANTECH,Circular Economy,B2B,Biotech,2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Technis,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CellX,Unknown,,Unknown,Venture Capital,2025,1.7M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Comphya,HEALTHCARE,Drug Discovery,Unknown,"Healthtech, Venture Capital",2025,4.35M CHF,Series A,Series A,,Switzerland,,,,,
Verretex,AI/ML,AI/ML,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
DPhi,AI/ML,AI/ML,B2B,,2025,2.1M CHF,Undisclosed,Series A,,Switzerland,,,,,
Mimic,AI/ML,AI/ML,B2B,Robotics,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
