Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Protex AI,B2B,SUPPLY CHAIN AND LOGISTICS,,SUPPLY CHAIN AND LOGISTICS,2021.0,,,Accelerator,Y Combinator,Ireland,2021.0,Seed,,,Active
Inflow,HEALTHCARE,THERAPEUTICS,,THERAPEUTICS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Zoios.,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2021.0,,,Accelerator,Y Combinator,Denmark,2021.0,Seed,,,Active
CoLoop,B2B,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Dot,B2B,ANALYTICS,,ANALYTICS,2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Malloc Inc,B2B,SECURITY,,SECURITY,2021.0,,,Accelerator,Y Combinator,Cyprus,2021.0,Seed,,,Active
Formance,B2B,,,,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Coinrule,FINTECH,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
LemFi,FINTECH,BANKING AND EXCHANGE,,BANKING AND EXCHANGE,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
SigmaOS,CONSUMER,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Enso,B2B,ANALYTICS,,ANALYTICS,2021.0,,,Accelerator,Y Combinator,Poland,2021.0,Seed,,,Active
Planet A Foods,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Kaya,B2B,MARKETING,,MARKETING,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Lago,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
StudyStream,EDUCATION,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Echoes HQ,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Netherlands,2021.0,Seed,,,Active
Archbee,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Romania,2021.0,Seed,,,Active
Carbonfact,INDUSTRIALS,CLIMATE,,CLIMATE,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Artillery,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2021.0,,,Accelerator,Y Combinator,Ireland,2021.0,Seed,,,Active
PaletteHQ,B2B,SALES,,SALES,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Kanda,FINTECH,CREDIT AND LENDING,,CREDIT AND LENDING,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Camlist,CONSUMER,HOME AND PERSONAL,,HOME AND PERSONAL,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
MagicBell,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Spain,2021.0,Seed,,,Active
Terra API,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Reshape Biotech,HEALTHCARE,INDUSTRIAL BIO,,INDUSTRIAL BIO,2021.0,,,Accelerator,Y Combinator,Denmark,2021.0,Seed,,,Active
Kilobaser,HEALTHCARE,MEDICAL DEVICES,,MEDICAL DEVICES,2021.0,,,Accelerator,Y Combinator,Austria,2021.0,Seed,,,Active
Clear,CONSUMER,SOCIAL,,SOCIAL,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Nuntius Therapeutics,HEALTHCARE,THERAPEUTICS,,THERAPEUTICS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
MindPortal,CONSUMER,CONSUMER ELECTRONICS,,CONSUMER ELECTRONICS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Routine,B2B,PRODUCTIVITY,,PRODUCTIVITY,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Turing College,EDUCATION,,,,2021.0,,,Accelerator,Y Combinator,Lithuania,2021.0,Seed,,,Active
HUBUC,FINTECH,PAYMENTS,,PAYMENTS,2021.0,,,Accelerator,Y Combinator,Spain,2021.0,Seed,,,Active
Wasp,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Croatia,2021.0,Seed,,,Active
Broad,FINTECH,BANKING AND EXCHANGE,,BANKING AND EXCHANGE,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Mystic,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Axolo,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Machine26,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,,CONSTRUCTION,2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Alpas,B2B,,,,2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Alokai,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Poland,2021.0,Seed,,,Active
Juicy Marbles,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2021.0,,,Accelerator,Y Combinator,Slovenia,2021.0,Seed,,,Active
Enode,INDUSTRIALS,ENERGY,,ENERGY,2021.0,,,Accelerator,Y Combinator,Norway,2021.0,Seed,,,Active
Finary.com,FINTECH,ASSET MANAGEMENT,,ASSET MANAGEMENT,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Anima,HEALTHCARE,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Mindee,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
