Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Veltist,Unknown,,Unknown,AR/VR,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Eight,Unknown,,Unknown,AR/VR,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
DNAencoded,AEROSPACE,,Unknown,"Biotech, IoT, Robotics, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
CO2storage,SOFTWARE,SaaS,B2B,"SaaS, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
HAYA,HEALTHCARE,Biotech,Unknown,Biotech,2025,65.0M USD,Undisclosed,Growth,,Switzerland,,,,,
MetaLead,Unknown,,Unknown,,2025,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
DePoly,Unknown,,Unknown,AR/VR,2025,23.0M USD,Funding Round,Series C,,Switzerland,,,,,
SONIX,SOFTWARE,SaaS,B2C,"AI, SaaS, Biotech",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AIPowered,FINTECH,Insurance,B2B,"AI, SaaS, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,SOFTWARE,SaaS,B2B,"AI, SaaS, Robotics",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
JOSEPHA,MOBILITY,Electric Vehicles,Unknown,,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Sonix,AI/ML,AI/ML,B2C,AI,2025,1.8M CHF,Funding Round,Series A,,Switzerland,,,,,
UNOMR,Unknown,,Unknown,,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
AICA,AI/ML,AI/ML,B2B,AI,2025,,Funding Round,Early Stage,,Switzerland,,,,,
Mosaic,AI/ML,AI/ML,Unknown,AI,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Bloom,AI/ML,AI/ML,Unknown,"AI, Cleantech",2025,13.0M CHF,Undisclosed,Series C,,Switzerland,,,,,
RoBoa,INDUSTRIALS,,B2B,Robotics,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Time,CLEANTECH,,Unknown,,2025,,Venture Kick Grant,Pre-Seed,,Switzerland,,,,,
AIpowered,AI/ML,AI/ML,Unknown,"AI, Cleantech",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
REMUUN,Unknown,,Unknown,,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Startups,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Clee,HEALTHCARE,,Unknown,"Healthtech, AR/VR",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
DPhi,AEROSPACE,,Unknown,AR/VR,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AICA,AI/ML,AI/ML,B2B,"AI, Robotics",2025,,Seed,Seed,,Switzerland,,,,,
Carewell,HEALTHCARE,,Unknown,"AI, Healthtech, AR/VR",2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Araris,HEALTHCARE,Biotech,Unknown,"AI, Biotech, IoT, AR/VR",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AIpowered,AI/ML,AI/ML,Unknown,AI,2025,6.0M USD,Undisclosed,Series B,,Switzerland,,,,,
